"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3","localStorage","chromium","Thu Apr 03 13:57:59 CEST 2025","passed","Thu Apr 03 13:57:59 CEST 2025","","tests\signup.spec.ts","",""
"","2431","To verify new user should be able to register and login successfully","chromium","Thu Apr 03 13:57:59 CEST 2025","passed","Thu Apr 03 13:58:01 CEST 2025","Sign Up - New User Registration","tests\signup.spec.ts","",""
